date,Kidnapping/Abduction,"Sex Offenses, Forcible",Robbery,Assault Offenses,Arson,Extortion/Blackmail,Burglary/Breaking & Entering,Larceny/Theft Offenses,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud Offenses,Embezzlement,Stolen Property Offenses,Destruction/Damage/Vandalism of Property,Drug/Narcotic Offenses,"Sex Offenses, Nonforcible",Pornography/Obscene Material,Gambling Offenses,Prostitution Offenses,Bribery,Weapon Law Violations,Human Trafficking or Kidnapping/Abduction,Animal Cruelty,Homicide Offenses,Bad Checks,Curfew/Loitering/Vagrancy Violations,Disorderly Conduct,Driving Under the Influence,Drunkenness,"Family Offenses, Nonviolent",Liquor Law Violations,Peeping Tom,Runaway,Trespass of Real Property,All Other Offenses,Offense Count,week,month,year,mon_year,season,is_holiday,is_weekend,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
2010-01-21,0,1,23,31,0,0,93,198,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,Thursday,1,2010,Jan-2010,Winter,0,0,75.5,59.1,67.3,75.5,59.1,67.3,46.1,56.4,0.0,0,0.0,none,0.0,0.0,20.8,11.4,277.7,1005.7,34.3,7.0,189.2,16.4,7.0,07:16:20,17:49:37,0.22,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-22,0,4,35,25,0,0,78,225,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,403,Friday,1,2010,Jan-2010,Winter,0,0,74.3,56.2,64.7,74.3,56.2,64.7,46.6,55.1,0.0,0,0.0,none,0.0,0.0,27.0,18.7,139.2,1007.6,20.2,9.1,189.6,16.4,7.0,07:16:01,17:50:30,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-23,0,1,22,30,0,0,53,193,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,Saturday,1,2010,Jan-2010,Winter,0,1,71.7,61.5,67.0,71.7,61.5,67.0,58.9,76.8,0.0,0,0.0,none,0.0,0.0,30.2,19.2,174.6,1001.2,77.4,6.1,110.6,9.5,5.0,07:15:40,17:51:22,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-24,0,5,35,42,0,0,52,169,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,341,Sunday,1,2010,Jan-2010,Winter,0,1,64.7,54.0,59.3,64.7,54.0,59.3,34.9,40.6,0.0,0,0.0,none,0.0,0.0,31.8,22.4,283.3,1005.3,6.7,9.9,197.1,17.1,7.0,07:15:18,17:52:14,0.32,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-25,0,1,24,31,0,0,90,166,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,Monday,1,2010,Jan-2010,Winter,0,0,65.4,46.3,55.7,65.4,46.3,55.4,37.0,51.8,0.0,0,0.0,none,0.0,0.0,0.0,8.2,329.5,1015.2,4.9,9.8,195.6,16.8,7.0,07:14:54,17:53:06,0.35,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-26,0,1,18,19,0,0,84,229,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,373,Tuesday,1,2010,Jan-2010,Winter,0,0,66.4,48.4,56.6,66.4,45.1,56.0,36.3,51.3,0.0,0,0.0,none,0.0,0.0,18.3,11.9,98.7,1021.7,2.7,9.4,195.9,16.9,7.0,07:14:28,17:53:58,0.38,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-27,0,2,21,26,0,0,84,188,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,Wednesday,1,2010,Jan-2010,Winter,0,0,66.1,52.9,58.7,66.1,52.9,58.7,51.1,76.3,0.0,0,0.0,none,0.0,0.0,25.3,18.4,112.2,1021.2,70.8,9.9,144.6,12.4,6.0,07:14:01,17:54:50,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-28,0,3,31,20,0,0,72,230,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,Thursday,1,2010,Jan-2010,Winter,0,0,63.0,57.1,60.5,63.0,57.1,60.5,57.6,90.6,0.004,100,8.33,rain,0.0,0.0,30.0,21.8,111.6,1017.3,82.2,7.3,96.9,8.5,4.0,07:13:32,17:55:42,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-29,0,1,18,18,0,0,77,219,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,Friday,1,2010,Jan-2010,Winter,0,0,66.2,37.7,51.6,66.2,28.5,48.2,48.4,88.7,0.216,100,41.67,rain,0.0,0.0,30.5,18.7,315.2,1012.2,100.0,7.7,119.5,10.4,5.0,07:13:02,17:56:34,0.48,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-01-30,0,2,24,21,0,0,44,181,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,Saturday,1,2010,Jan-2010,Winter,0,1,38.6,32.5,35.7,30.0,24.0,26.9,27.5,72.2,0.0,0,0.0,none,0.0,0.0,24.6,16.0,337.2,1020.1,85.2,9.9,192.5,16.7,7.0,07:12:31,17:57:26,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
